asdf


asddas2018-07-07 12:40:20,789 'a'
2018-07-07 12:43:32,651 'e'
2018-07-07 12:43:33,132 Key.enter
2018-07-07 12:43:36,179 Key.up
2018-07-07 12:43:36,652 Key.left
2018-07-07 12:43:36,828 Key.left
2018-07-07 12:43:36,980 Key.left
2018-07-07 12:43:37,100 Key.left
2018-07-07 12:43:38,268 'y'
2018-07-07 12:43:39,659 Key.backspace
2018-07-07 12:43:39,836 Key.backspace
2018-07-07 12:43:40,124 'y'
2018-07-07 12:43:41,164 Key.enter
2018-07-07 12:44:10,443 Key.ctrl_l
2018-07-07 12:44:10,587 'a'
2018-07-07 12:44:11,236 Key.backspace
2018-07-07 12:44:12,251 'p'
2018-07-07 12:44:12,351 'e'
2018-07-07 12:44:13,403 Key.backspace
2018-07-07 12:44:13,574 Key.backspace
2018-07-07 12:44:13,727 Key.backspace
2018-07-07 12:44:15,099 'a'
2018-07-07 12:44:15,193 's'
2018-07-07 12:44:15,291 'd'
2018-07-07 12:44:15,451 'f'
2018-07-07 12:44:15,947 Key.enter
2018-07-07 12:44:16,155 Key.shift_r
2018-07-07 12:44:16,292 "'"
2018-07-07 12:44:17,187 Key.backspace
2018-07-07 12:44:17,699 Key.backspace
2018-07-07 12:44:17,844 Key.backspace
2018-07-07 12:44:17,971 Key.backspace
2018-07-07 12:44:18,115 Key.backspace
2018-07-07 12:44:18,259 Key.backspace
2018-07-07 12:44:18,412 Key.backspace
2018-07-07 12:44:25,795 's'
2018-07-07 12:44:25,896 'h'
2018-07-07 12:44:25,987 'u'
2018-07-07 12:44:26,117 't'
2018-07-07 12:44:26,596 'd'
2018-07-07 12:44:26,707 'o'
2018-07-07 12:44:26,814 'w'
2018-07-07 12:44:27,045 'n'
2018-07-07 12:44:27,428 Key.space
2018-07-07 12:44:27,571 '-'
2018-07-07 12:44:27,668 's'
2018-07-07 12:44:27,939 '-'
2018-07-07 12:44:28,731 't'
2018-07-07 12:44:29,387 Key.backspace
2018-07-07 12:44:29,532 Key.backspace
2018-07-07 12:44:29,627 Key.space
2018-07-07 12:44:29,867 '-'
2018-07-07 12:44:30,233 't'
2018-07-07 12:44:30,467 Key.space
2018-07-07 12:44:31,491 '3'
2018-07-07 12:44:31,866 '6'
2018-07-07 12:44:32,011 '0'
2018-07-07 12:44:32,124 '0'
2018-07-07 12:44:49,739 'h'
2018-07-07 12:44:49,843 'o'
2018-07-07 12:44:50,091 'w'
2018-07-07 12:44:50,316 Key.space
2018-07-07 12:44:50,475 't'
2018-07-07 12:44:50,699 'o'
2018-07-07 12:44:50,778 Key.space
2018-07-07 12:44:50,970 'i'
2018-07-07 12:44:51,347 Key.backspace
2018-07-07 12:44:51,619 'u'
2018-07-07 12:44:51,810 's'
2018-07-07 12:44:51,906 'e'
2018-07-07 12:44:52,116 'e'
2018-07-07 12:44:52,483 Key.backspace
2018-07-07 12:44:52,611 Key.space
2018-07-07 12:44:52,787 'p'
2018-07-07 12:44:53,675 'y'
2018-07-07 12:44:54,147 '2'
2018-07-07 12:44:54,354 'e'
2018-07-07 12:44:54,594 'x'
2018-07-07 12:44:54,787 'e'
2018-07-07 12:44:54,979 Key.enter
2018-07-07 12:45:31,731 Key.right
2018-07-07 12:45:33,171 Key.space
2018-07-07 12:45:33,611 Key.right
2018-07-07 12:45:35,659 Key.right
2018-07-07 12:45:36,835 Key.left
2018-07-07 12:45:40,818 Key.right
2018-07-07 12:45:41,899 Key.space
2018-07-07 12:45:51,786 Key.right
2018-07-07 12:46:09,187 Key.ctrl_l
2018-07-07 12:46:09,443 'c'
2018-07-07 12:46:14,970 Key.shift
2018-07-07 12:46:15,066 Key.left
2018-07-07 12:46:15,834 Key.shift
2018-07-07 12:46:16,266 Key.left
2018-07-07 12:46:16,785 Key.home
2018-07-07 12:46:17,074 Key.enter
2018-07-07 12:46:18,018 Key.up
2018-07-07 12:46:18,522 Key.ctrl_l
2018-07-07 12:46:18,730 'v'
2018-07-07 12:46:19,834 Key.left
2018-07-07 12:46:19,994 Key.left
2018-07-07 12:46:20,202 Key.left
2018-07-07 12:46:23,050 Key.left
2018-07-07 12:46:23,242 Key.left
2018-07-07 12:46:23,418 Key.left
2018-07-07 12:46:23,833 Key.backspace
2018-07-07 12:46:24,002 Key.backspace
2018-07-07 12:46:24,163 Key.backspace
2018-07-07 12:46:24,337 Key.backspace
2018-07-07 12:46:24,730 Key.backspace
2018-07-07 12:46:24,922 't'
2018-07-07 12:46:25,010 'e'
2018-07-07 12:46:25,242 's'
2018-07-07 12:46:25,403 't'
2018-07-07 12:46:26,066 Key.ctrl_r
2018-07-07 12:46:26,226 Key.ctrl_r
2018-07-07 12:46:26,370 Key.ctrl_r
2018-07-07 12:46:27,122 Key.left
2018-07-07 12:46:27,282 Key.left
2018-07-07 12:46:27,443 Key.left
2018-07-07 12:46:27,570 Key.left
2018-07-07 12:46:27,714 Key.left
2018-07-07 12:46:27,874 Key.left
2018-07-07 12:46:28,947 Key.down
2018-07-07 12:46:29,482 Key.shift
2018-07-07 12:46:29,602 Key.left
2018-07-07 12:46:30,858 Key.home
2018-07-07 12:46:31,258 Key.enter
2018-07-07 12:46:32,034 Key.up
2018-07-07 12:46:32,226 Key.up
2018-07-07 12:46:32,858 Key.down
2018-07-07 12:46:38,786 Key.left
2018-07-07 12:46:39,226 Key.shift
2018-07-07 12:46:39,338 Key.right
2018-07-07 12:46:40,361 Key.left
2018-07-07 12:46:41,650 Key.shift
2018-07-07 12:46:42,018 Key.end
2018-07-07 12:46:42,442 Key.ctrl_l
2018-07-07 12:46:42,938 'x'
2018-07-07 12:46:43,114 Key.up
2018-07-07 12:46:43,290 Key.up
2018-07-07 12:46:43,857 Key.enter
2018-07-07 12:46:44,274 Key.up
2018-07-07 12:46:44,634 Key.ctrl_l
2018-07-07 12:46:45,114 'v'
2018-07-07 12:46:47,329 Key.alt_l
2018-07-07 12:46:47,377 Key.tab
2018-07-07 12:46:50,726 Key.right
2018-07-07 12:46:51,162 Key.right
2018-07-07 12:46:52,282 Key.space
2018-07-07 12:46:58,970 Key.right
2018-07-07 12:47:06,169 Key.right
2018-07-07 12:47:06,665 Key.right
2018-07-07 12:47:09,666 Key.right
2018-07-07 12:47:10,777 Key.right
2018-07-07 12:47:11,330 Key.right
2018-07-07 12:47:12,962 Key.right
2018-07-07 12:47:13,553 Key.right
2018-07-07 12:47:14,657 Key.right
2018-07-07 12:47:15,065 Key.right
2018-07-07 12:47:15,337 Key.right
2018-07-07 12:47:15,642 Key.right
2018-07-07 12:47:15,914 Key.right
2018-07-07 12:47:16,186 Key.right
